New Training Session, Net Version 50 ,,,
Epoch, iterations, Running Loss, Lowest Running Loss, Mark Number 
430,999,52864.11328,19767.10547,5
431,999,41772.1875,19767.10547,5
432,999,45593.71094,19767.10547,5
433,999,40881.61719,19767.10547,5
434,999,39794.94531,19767.10547,5
435,999,37186.91406,19767.10547,5
436,999,45228.98438,19767.10547,5
437,999,46251.78906,19767.10547,5
438,999,42154.82422,19767.10547,5
439,999,48356.26953,19767.10547,5
440,999,55814.375,19767.10547,5
441,999,32092.54883,19767.10547,5
442,999,44953.17578,19767.10547,5
443,999,46416.0625,19767.10547,5
444,999,41279.08984,19767.10547,5
445,999,45643.77344,19767.10547,5
446,999,42230.67969,19767.10547,5
447,999,37484.08203,19767.10547,5
448,999,51872.71094,19767.10547,5
449,999,30765.53906,19767.10547,5
450,999,44234.86328,19767.10547,5
451,999,42286.27344,19767.10547,5
452,999,41746.80469,19767.10547,5
453,999,33045.53125,19767.10547,5
454,999,48039.36719,19767.10547,5
455,999,43697.37891,19767.10547,5
456,999,39399.39453,19767.10547,5
457,999,48123.47266,19767.10547,5
458,999,46858.97656,19767.10547,5
459,999,36429.73828,19767.10547,5
460,999,57158.02734,19767.10547,5
461,999,26422.33008,19767.10547,5
462,999,43955.92188,19767.10547,5
463,999,35363.91406,19767.10547,5
464,999,48675.10156,19767.10547,5
465,999,41215.71094,19767.10547,5
466,999,38062.67578,19767.10547,5
467,999,40108.34766,19767.10547,5
468,999,48613.23828,19767.10547,5
469,999,40275.50781,19767.10547,5
470,999,45792.34375,19767.10547,5
471,999,43228.35156,19767.10547,5
472,999,42721.42969,19767.10547,5
473,999,48425.54297,19767.10547,5
474,999,42904.02344,19767.10547,5
475,999,39086.61328,19767.10547,5
476,999,42123.66406,19767.10547,5
477,999,48281.86719,19767.10547,5
478,999,41493.64453,19767.10547,5
479,999,36817.02344,19767.10547,5
480,999,38542.65625,19767.10547,5
481,999,45108.60547,19767.10547,5
482,999,42647.04688,19767.10547,5
483,999,47001.72656,19767.10547,5
484,999,46637.47656,19767.10547,5
485,999,31901.07422,19767.10547,5
486,999,60934.27344,19767.10547,5
487,999,32812.51563,19767.10547,5
488,999,49654.1875,19767.10547,5
489,999,46458.94922,19767.10547,5
490,999,48215.84375,19767.10547,5
491,999,34837.16797,19767.10547,5
492,999,46400.93359,19767.10547,5
493,999,59183.99609,19767.10547,5
494,999,32360.07031,19767.10547,5
495,999,41523.23828,19767.10547,5
496,999,51003.75781,19767.10547,5
497,999,42887.70703,19767.10547,5
498,999,38487.66406,19767.10547,5
499,999,48515.78125,19767.10547,5
500,999,36197.68359,19767.10547,5
501,999,49997.25,19767.10547,5
502,999,45312.69531,19767.10547,5
503,999,45026.94531,19767.10547,5
504,999,46700.79297,19767.10547,5
505,999,47181.92188,19767.10547,5
506,999,43674.3125,19767.10547,5
507,999,42057.80859,19767.10547,5
508,999,53093.17969,19767.10547,5
509,999,40621.35938,19767.10547,5
510,999,31608.83789,19767.10547,5
511,999,43678.43359,19767.10547,5
512,999,44467.30469,19767.10547,5
513,999,49644.01953,19767.10547,5
514,999,42706.59766,19767.10547,5
515,999,44853.03516,19767.10547,5
516,999,37242.09375,19767.10547,5
517,999,40257.29297,19767.10547,5
518,999,44404.13672,19767.10547,5
519,999,50628.47656,19767.10547,5
520,999,52621.52344,19767.10547,5
521,999,38084.21484,19767.10547,5
522,999,51030.52734,19767.10547,5
523,999,40357.19141,19767.10547,5
524,999,51522.70703,19767.10547,5
525,999,52264.20703,19767.10547,5
526,999,41088.14453,19767.10547,5
527,999,49802.39453,19767.10547,5
528,999,42529.03906,19767.10547,5
529,999,36168.79688,19767.10547,5
530,999,57925.66797,19767.10547,5
531,999,48052.28125,19767.10547,5
532,999,43345.58594,19767.10547,5
533,999,45161.75,19767.10547,5
534,999,47567.75781,19767.10547,5
535,999,39046.47266,19767.10547,5
536,999,54398.83203,19767.10547,5
537,999,49081.92969,19767.10547,5
538,999,45763.36328,19767.10547,5
539,999,42382.32422,19767.10547,5
540,999,55026.05859,19767.10547,5
541,999,37895.00391,19767.10547,5
542,999,43795.80469,19767.10547,5
543,999,44125.80859,19767.10547,5
544,999,33226.875,19767.10547,5
545,999,41741.55078,19767.10547,5
546,999,47015.26953,19767.10547,5
547,999,41816.94922,19767.10547,5
548,999,44398.51172,19767.10547,5
549,999,44569.52344,19767.10547,5
550,999,50174.33594,19767.10547,5
551,999,55819.97266,19767.10547,5
552,999,46735.93359,19767.10547,5
553,999,54965.74219,19767.10547,5
554,999,45736.72266,19767.10547,5
555,999,51440.66016,19767.10547,5
556,999,52863.96094,19767.10547,5
557,999,46953.38281,19767.10547,5
558,999,46087.11328,19767.10547,5
559,999,53281.30469,19767.10547,5
560,999,45768.64844,19767.10547,5
561,999,44211.78125,19767.10547,5
562,999,31530.63477,19767.10547,5
563,999,41830.64453,19767.10547,5
564,999,46973.64453,19767.10547,5
565,999,57284.17578,19767.10547,5
566,999,45257.80469,19767.10547,5
567,999,33540.10938,19767.10547,5
568,999,40651.14453,19767.10547,5
569,999,51209.45703,19767.10547,5
570,999,44367.10156,19767.10547,5
571,999,44120.46484,19767.10547,5
572,999,45804.47266,19767.10547,5
573,999,38649.72656,19767.10547,5
574,999,39107.33984,19767.10547,5
575,999,32298.94141,19767.10547,5
576,999,37703.78125,19767.10547,5
577,999,54872.78516,19767.10547,5
578,999,43955.30859,19767.10547,5
579,999,50515.52344,19767.10547,5
580,999,35328.28516,19767.10547,5
581,999,59046.92578,19767.10547,5
582,999,41607.40234,19767.10547,5
583,999,50538.32813,19767.10547,5
584,999,48930.66797,19767.10547,5
585,999,50743.45703,19767.10547,5
586,999,52878.72656,19767.10547,5
587,999,41373.60938,19767.10547,5
588,999,43930.70703,19767.10547,5
589,999,58426.04688,19767.10547,5
590,999,47478.66406,19767.10547,5
591,999,54484.92578,19767.10547,5
592,999,45674.66016,19767.10547,5
593,999,52246.94141,19767.10547,5
594,999,46479.60547,19767.10547,5
595,999,43854.53906,19767.10547,5
596,999,28863.49609,19767.10547,5
597,999,50636.75,19767.10547,5
598,999,47623.49219,19767.10547,5
599,999,36784.21484,19767.10547,5
600,999,41982.41406,19767.10547,5
601,999,50000.64063,19767.10547,5
602,999,39604.64844,19767.10547,5
603,999,36643.42188,19767.10547,5
604,999,49075.54688,19767.10547,5
605,999,37837.15234,19767.10547,5
606,999,48788.32031,19767.10547,5
607,999,49847.38281,19767.10547,5
608,999,45702.1875,19767.10547,5
609,999,41952.53906,19767.10547,5
610,999,40123.50781,19767.10547,5
611,999,31552.56445,19767.10547,5
612,999,39068.66797,19767.10547,5
613,999,40356.97266,19767.10547,5
614,999,44631.48828,19767.10547,5
615,999,55073.19141,19767.10547,5
616,999,49190.81641,19767.10547,5
617,999,49945.98438,19767.10547,5
618,999,48395.76953,19767.10547,5
619,999,43993.71094,19767.10547,5
620,999,48090.55469,19767.10547,5
621,999,43818.14453,19767.10547,5
622,999,48616.43359,19767.10547,5
623,999,47720.97266,19767.10547,5
624,999,40345.1875,19767.10547,5
625,999,39450.56641,19767.10547,5
626,999,43151.14063,19767.10547,5
627,999,43032.01563,19767.10547,5
628,999,39505.00391,19767.10547,5
629,999,33212.76172,19767.10547,5
630,999,37791.63281,19767.10547,5
631,999,51326,19767.10547,5
632,999,42605.71094,19767.10547,5
633,999,42213.27344,19767.10547,5
634,999,39189.98438,19767.10547,5
635,999,46308.99609,19767.10547,5
636,999,47371.14844,19767.10547,5
637,999,41759.87891,19767.10547,5
638,999,37633.57813,19767.10547,5
639,999,52380.41797,19767.10547,5
640,999,37777.35547,19767.10547,5
641,999,41755.73047,19767.10547,5
642,999,41197.89063,19767.10547,5
643,999,50088,19767.10547,5
644,999,47005.64844,19767.10547,5
645,999,42189.51953,19767.10547,5
646,999,46227.82031,19767.10547,5
647,999,44645.38281,19767.10547,5
648,999,50164.32813,19767.10547,5
649,999,59732.5,19767.10547,5
650,999,38776.12109,19767.10547,5
651,999,41740.58594,19767.10547,5
652,999,34449.14063,19767.10547,5
653,999,38675.08594,19767.10547,5
654,999,46438.71875,19767.10547,5
655,999,53316.27734,19767.10547,5
656,999,40577.07813,19767.10547,5
657,999,46066.67578,19767.10547,5
658,999,45039.97656,19767.10547,5
659,999,36072.13672,19767.10547,5
660,999,46625.08984,19767.10547,5
661,999,41746.88672,19767.10547,5
662,999,52998.00781,19767.10547,5
663,999,47529.05859,19767.10547,5
664,999,57123.83984,19767.10547,5
665,999,53555.35156,19767.10547,5
666,999,48316.25781,19767.10547,5
667,999,42626.35938,19767.10547,5
668,999,42335.89063,19767.10547,5
669,999,41625.50781,19767.10547,5
670,999,33796.54688,19767.10547,5
671,999,38175.91797,19767.10547,5
672,999,54135.27344,19767.10547,5
673,999,44558.78125,19767.10547,5
674,999,45770.61719,19767.10547,5
675,999,55431.85547,19767.10547,5
676,999,48610.22266,19767.10547,5
677,999,50267.62109,19767.10547,5
678,999,47365.82422,19767.10547,5
679,999,40451.05469,19767.10547,5
680,999,51120.17969,19767.10547,5
681,999,41745.61328,19767.10547,5
682,999,38134.46094,19767.10547,5
683,999,30794.66016,19767.10547,5
684,999,45565.60547,19767.10547,5
685,999,37933.1875,19767.10547,5
686,999,39287.76563,19767.10547,5
687,999,47760.64063,19767.10547,5
688,999,34758.1875,19767.10547,5
689,999,47856.17578,19767.10547,5
690,999,36450.44531,19767.10547,5
691,999,49923.19531,19767.10547,5
692,999,52216.83984,19767.10547,5
693,999,43556.69922,19767.10547,5
694,999,42991.85938,19767.10547,5
695,999,44104.58594,19767.10547,5
696,999,45140.91797,19767.10547,5
697,999,39659.375,19767.10547,5
698,999,47072.16016,19767.10547,5
699,999,40244.47656,19767.10547,5
700,999,45482.52344,19767.10547,5
701,999,52473.30078,19767.10547,5
702,999,50873.71484,19767.10547,5
703,999,52671.83594,19767.10547,5
704,999,50234.58203,19767.10547,5
705,999,43382.8125,19767.10547,5
706,999,48219.50781,19767.10547,5
707,999,43309.69141,19767.10547,5
708,999,39783.91016,19767.10547,5
709,999,43427.01953,19767.10547,5
710,999,46788.28906,19767.10547,5
711,999,46701.12891,19767.10547,5
712,999,42975.93359,19767.10547,5
713,999,42415.73828,19767.10547,5
714,999,40765.75781,19767.10547,5
715,999,47266.36719,19767.10547,5
716,999,40370.53516,19767.10547,5
717,999,43825.57813,19767.10547,5
718,999,48720.72656,19767.10547,5
719,999,29837.24609,19767.10547,5
720,999,42327.28125,19767.10547,5
721,999,41377.42578,19767.10547,5
722,999,36837.68359,19767.10547,5
723,999,46343.96094,19767.10547,5
724,999,43745.51953,19767.10547,5
725,999,53439.50391,19767.10547,5
726,999,47223.74219,19767.10547,5
727,999,47366.08203,19767.10547,5
728,999,52560.78906,19767.10547,5
729,999,50314.11719,19767.10547,5
730,999,45452.02344,19767.10547,5
731,999,38674.75781,19767.10547,5
732,999,53524.60156,19767.10547,5
733,999,53502.15625,19767.10547,5
734,999,48244.66016,19767.10547,5
735,999,42840.61328,19767.10547,5
736,999,38654.98047,19767.10547,5
737,999,44270.6875,19767.10547,5
738,999,46229.45703,19767.10547,5
739,999,39311.84375,19767.10547,5
740,999,42759.83984,19767.10547,5
741,999,33264.69141,19767.10547,5
742,999,32594.52344,19767.10547,5
743,999,44304.36719,19767.10547,5
744,999,46250.94141,19767.10547,5
745,999,33254.49219,19767.10547,5
746,999,45649.78906,19767.10547,5
747,999,47898.66406,19767.10547,5
748,999,34703.89844,19767.10547,5
749,999,46540.55859,19767.10547,5
750,999,30556.93555,19767.10547,5
751,999,35270.89453,19767.10547,5
752,999,42979.63281,19767.10547,5
753,999,45337.55469,19767.10547,5
754,999,48122.28516,19767.10547,5
755,999,34302.64453,19767.10547,5
756,999,40830.44922,19767.10547,5
757,999,42615.51172,19767.10547,5
758,999,41429.27734,19767.10547,5
759,999,41872.61328,19767.10547,5
760,999,43388.5625,19767.10547,5
761,999,37739.73438,19767.10547,5
762,999,43042.19922,19767.10547,5
763,999,37056.06641,19767.10547,5
764,999,45567.08594,19767.10547,5
765,999,41543.21484,19767.10547,5
766,999,48313.39844,19767.10547,5
767,999,39457.02344,19767.10547,5
768,999,40522.76953,19767.10547,5
769,999,43908.46094,19767.10547,5
