New Training Session, Net Version 50 
Epoch, iterations, Running Loss, Lowest Running Loss, Mark Number 
0, 999, 82.79177856445312, 82.79177856445312, 0 
1, 999, 112.76209259033203, 82.79177856445312, 0 
2, 999, 80.90665435791016, 82.79177856445312, 0 
3, 999, 108.83944702148438, 80.90665435791016, 1 
4, 999, 102.86302947998047, 80.90665435791016, 1 
5, 999, 83.86443328857422, 80.90665435791016, 1 
6, 999, 108.94815063476562, 80.90665435791016, 1 
7, 999, 103.91139221191406, 80.90665435791016, 1 
8, 999, 121.02133178710938, 80.90665435791016, 1 
9, 999, 122.9720458984375, 80.90665435791016, 1 
10, 999, 97.8741455078125, 80.90665435791016, 1 
11, 999, 92.1913833618164, 80.90665435791016, 1 
12, 999, 95.99940490722656, 80.90665435791016, 1 
13, 999, 89.12924194335938, 80.90665435791016, 1 
14, 999, 88.04753112792969, 80.90665435791016, 1 
15, 999, 89.14714050292969, 80.90665435791016, 1 
16, 999, 92.11033630371094, 80.90665435791016, 1 
17, 999, 68.08893585205078, 80.90665435791016, 1 
18, 999, 101.09266662597656, 68.08893585205078, 2 
19, 999, 103.15286254882812, 68.08893585205078, 2 
20, 999, 104.1849365234375, 68.08893585205078, 2 
21, 999, 84.17901611328125, 68.08893585205078, 2 
22, 999, 93.19253540039062, 68.08893585205078, 2 
23, 999, 99.14865112304688, 68.08893585205078, 2 
24, 999, 73.26231384277344, 68.08893585205078, 2 
25, 999, 76.24317932128906, 68.08893585205078, 2 
26, 999, 95.22901916503906, 68.08893585205078, 2 
27, 999, 93.1324234008789, 68.08893585205078, 2 
28, 999, 134.28167724609375, 68.08893585205078, 2 
29, 999, 97.412109375, 68.08893585205078, 2 
30, 999, 110.18101501464844, 68.08893585205078, 2 
31, 999, 136.3267364501953, 68.08893585205078, 2 
32, 999, 107.36180114746094, 68.08893585205078, 2 
33, 999, 106.34239196777344, 68.08893585205078, 2 
34, 999, 111.3216781616211, 68.08893585205078, 2 
35, 999, 114.27676391601562, 68.08893585205078, 2 
36, 999, 117.17010498046875, 68.08893585205078, 2 
37, 999, 91.19332885742188, 68.08893585205078, 2 
38, 999, 117.31061553955078, 68.08893585205078, 2 
39, 999, 107.36872100830078, 68.08893585205078, 2 
40, 999, 120.2359619140625, 68.08893585205078, 2 
41, 999, 111.4384765625, 68.08893585205078, 2 
42, 999, 99.57730865478516, 68.08893585205078, 2 
43, 999, 101.47880554199219, 68.08893585205078, 2 
44, 999, 114.48889923095703, 68.08893585205078, 2 
45, 999, 121.49939727783203, 68.08893585205078, 2 
46, 999, 118.43782806396484, 68.08893585205078, 2 
47, 999, 112.48397064208984, 68.08893585205078, 2 
48, 999, 101.43245697021484, 68.08893585205078, 2 
49, 999, 134.6122283935547, 68.08893585205078, 2 
50, 999, 127.4415512084961, 68.08893585205078, 2 
51, 999, 99.40081787109375, 68.08893585205078, 2 
52, 999, 90.59168243408203, 68.08893585205078, 2 
53, 999, 116.53701782226562, 68.08893585205078, 2 
54, 999, 94.60726928710938, 68.08893585205078, 2 
55, 999, 85.548095703125, 68.08893585205078, 2 
56, 999, 121.66754150390625, 68.08893585205078, 2 
57, 999, 114.80996704101562, 68.08893585205078, 2 
58, 999, 138.81185913085938, 68.08893585205078, 2 
59, 999, 126.55683898925781, 68.08893585205078, 2 
60, 999, 87.54341888427734, 68.08893585205078, 2 
61, 999, 88.7016372680664, 68.08893585205078, 2 
62, 999, 113.64051818847656, 68.08893585205078, 2 
63, 999, 112.71540069580078, 68.08893585205078, 2 
64, 999, 124.51919555664062, 68.08893585205078, 2 
65, 999, 126.70298767089844, 68.08893585205078, 2 
66, 999, 144.69952392578125, 68.08893585205078, 2 
67, 999, 110.81869506835938, 68.08893585205078, 2 
68, 999, 108.61958312988281, 68.08893585205078, 2 
69, 999, 135.63180541992188, 68.08893585205078, 2 
70, 999, 131.52854919433594, 68.08893585205078, 2 
71, 999, 110.6225814819336, 68.08893585205078, 2 
72, 999, 110.60578918457031, 68.08893585205078, 2 
73, 999, 153.50750732421875, 68.08893585205078, 2 
74, 999, 107.55247497558594, 68.08893585205078, 2 
